sample,sequence,sequence_labels_csv
passive_active_gleaning_ENSG00000172016,ENSG00000172016,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000172023,ENSG00000172023,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000173762,ENSG00000173762,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000174448,ENSG00000174448,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000175877,ENSG00000175877,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000177414,ENSG00000177414,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000182853,ENSG00000182853,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000184995,ENSG00000184995,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000187754,ENSG00000187754,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000188817,ENSG00000188817,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000189037,ENSG00000189037,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000189064,ENSG00000189064,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000196754,ENSG00000196754,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204065,ENSG00000204065,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204421,ENSG00000204421,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000205777,ENSG00000205777,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000213927,ENSG00000213927,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000215269,ENSG00000215269,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000215274,ENSG00000215274,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000216649,ENSG00000216649,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000224659,ENSG00000224659,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000224902,ENSG00000224902,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000227488,ENSG00000227488,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000230561,ENSG00000230561,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000236362,ENSG00000236362,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000237524,ENSG00000237524,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000237671,ENSG00000237671,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000239605,ENSG00000239605,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000241476,ENSG00000241476,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000268009,ENSG00000268009,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000268447,ENSG00000268447,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000269791,ENSG00000269791,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000274274,ENSG00000274274,resources/sample_labels/passive_active_gleaning_labels.csv
